%time,field.v,field.h,field.vl,field.actual_v,field.u,field.rpm,field.pwm
1423689518415266994,1.91087995926,4.01268,2.58438633704,1.54712,4.44879994174,166.0,1383
1423689518533039994,1.9498129518,4.06888,2.61251308219,1.54712,2.73490763029,166.0,1382
1423689518648747327,1.96984769525,4.11384,2.54921195999,1.54712,2.01007868896,166.0,1381
1423689518766546327,1.98188986868,4.17004,2.52006968304,1.65896,1.84439409249,178.0,1380
1423689518883295661,1.99210457204,4.215,2.51282409967,1.65896,1.55502127258,178.0,1380
1423689518999968994,1.99912826136,4.24872,2.41103697345,1.73352,2.26430872504,186.0,1379
1423689519115679328,2.01397138857,4.28244,2.31798320169,1.73352,2.60777272531,186.0,1378
1423689519236161994,2.03260022723,4.31616,2.2929727481,1.73352,2.18071368391,186.0,1378
1423689519352673328,2.04651949982,4.3274,2.17900517184,1.80808,2.69171249379,194.0,1377
1423689519468951661,2.06607161521,4.3274,2.01410680752,1.80808,2.39533526592,194.0,1377
1423689519584631661,2.08235486837,4.33864,2.02004363784,1.80808,1.52277682672,194.0,1376
1423689519700904661,2.08901707212,4.33864,2.02776742541,1.90128,1.19944328488,204.0,1376
1423689519819496994,2.09211407663,4.3274,1.97447820295,1.90128,-0.659785836703,204.0,1375
1423689519937078327,2.07471285622,4.29368,1.78560095482,1.99448,-6.22838845806,214.0,1375
1423689520053723328,1.99591889099,4.20376,1.51050361658,1.99448,-6.2283898494,214.0,1375
1423689520170258327,1.91713012173,4.17004,1.36172903451,2.06904,-6.22838813671,222.0,1375
1423689520287168994,1.8383465481,4.11384,1.31159807642,2.06904,-6.2283833206,222.0,1376
1423689520404422328,1.75956816976,4.0464,1.12822993343,2.06904,-6.22837540169,222.0,1376
1423689520522223994,1.68079498637,3.9902,0.921123136291,2.12496,-6.2283643806,228.0,1377
1423689520643988661,1.60202699758,3.94524,0.909507909952,2.12496,-6.22835025793,228.0,1379
1423689520761721328,1.52326420307,3.86656,0.795016757197,2.18088,-6.2283330343,234.0,1380
1423689520880367661,1.44450660248,3.81036,0.709968886869,2.18088,-6.22831271033,234.0,1382
1423689520996644328,1.36575419548,3.74292,0.62773562351,2.18088,-6.22828928662,234.0,1384
1423689521113459661,1.28700698173,3.69796,0.701188481326,2.18088,-6.2282627638,234.0,1386
1423689521232650328,1.20826496088,3.653,0.757351854294,2.1436,-6.22823314247,230.0,1388
1423689521349283994,1.1295281326,3.61928,0.835452394302,2.1436,-6.22820042324,230.0,1391
1423689521465049661,1.05079649654,3.58556,0.837196697215,2.08768,-4.12953168273,224.0,1393
1423689521583474994,0.995207565465,3.56308,0.840629937103,2.08768,-0.507497419541,224.0,1396
1423689521700180661,0.979555082432,3.5406,0.80426183082,2.08768,-1.73348309469,224.0,1398
1423689521817819328,0.950387003523,3.51812,0.76640400151,1.99448,-2.19900900504,214.0,1401
1423689521935515328,0.916088242361,3.51812,0.883185990597,1.99448,4.44909167232,214.0,1403
1423689522053663328,0.955087142039,3.51812,0.973588637115,1.88264,4.44907091686,202.0,1406
1423689522172780661,0.994083457948,3.52936,1.04546027393,1.88264,4.44905092316,202.0,1408
