%time,field.v,field.h,field.vl,field.actual_v,field.u,field.rpm,field.pwm
1423683670726045630,0.0,1.2364,4.36974737029,0.0,0.907,0.0,1420
1423683670855048296,0.0,1.27012,10.3429269181,0.0,0.907,0.0,1420
1423683670971609963,0.0,1.30384,3.4981693385,0.0,4.44979795614,0.0,1420
1423683671087546630,0.039059592844,1.3488,0.0,0.0,3.23688555158,0.0,1419
1423683671203744630,0.0647445827068,1.39376,0.0,0.0,1.887747442,0.0,1419
1423683671320455963,0.0755538089883,1.44996,0.0,0.0,1.44221168459,0.0,1419
1423683671437345296,0.0814503732164,1.49492,0.0,0.0,1.24349280854,0.0,1419
1423683671554438296,0.085155720792,1.55112,0.0,0.0,1.20771678268,0.0,1419
1423683671670947296,0.0884664292858,1.58484,0.0,0.0,1.12070146009,0.0,1419
1423683671787554630,0.0908176038993,1.6298,0.0,0.0,1.12545355771,0.0,1418
1423683671906143298,0.0932210399216,1.70848,0.00600207914508,0.0,1.56615933541,0.0,1418
1423683672023577298,0.100483152878,1.7422,0.0175416957139,0.0,1.87997706607,0.0,1418
1423683672139679298,0.11120472286,1.78716,0.0659088814027,0.0,4.0785194747,0.0,1418
1423683672257666964,0.146164770389,1.83212,0.296150024793,0.0,4.44965713241,0.0,1417
1423683672373932298,0.185214679427,1.87708,0.574469690207,0.0,4.44962131758,0.0,1417
1423683672490810632,0.224262001306,1.9108,0.71200871455,0.0,4.4495862675,0.0,1417
1423683672610815298,0.263306736197,1.95576,0.777424885381,0.0,4.44955198202,0.0,1416
1423683672728860631,0.302348884274,2.00072,0.840848130905,0.0,4.44951846097,0.0,1415
1423683672847291298,0.341388445706,2.04568,0.866486852514,0.0,4.44948570421,0.0,1415
1423683672965406298,0.380425420667,2.09064,0.888869076464,0.0,4.4494537116,0.0,1414
1423683673086028965,0.419459809328,2.1356,0.897047074772,0.0,4.44942248297,0.0,1413
1423683673205315298,0.458491611862,2.16932,0.84288239603,0.0,4.44939201817,0.0,1412
1423683673323555965,0.497520828439,2.21428,0.876160416869,0.0,4.44936231706,0.0,1411
1423683673442282965,0.536547459232,2.23676,0.764761585705,0.0,4.44933337948,0.0,1410
1423683673559821298,0.575571504413,2.25924,0.695820270335,0.0,4.44930520528,0.0,1408
1423683673676605965,0.614592964153,2.29296,0.726162159791,0.0,4.44927779431,0.0,1407
1423683673796672631,0.653611838625,2.29296,0.705865021628,0.0,4.44925114641,0.0,1406
1423683673913281631,0.692628128,2.29296,0.649369973263,0.0,3.11485306289,0.0,1404
1423683674029471631,0.716930313526,2.29296,0.644246974326,0.0,1.41652233761,0.0,1403
1423683674145432631,0.722506884555,2.29296,0.680845275255,0.0,3.05414567671,0.0,1401
1423683674261531298,0.746138002698,2.29296,0.724885318806,0.0,4.02870088527,0.0,1399
1423683674379060631,0.780512238558,2.29296,0.766671250483,0.0,4.24762437585,0.0,1398
1423683674497041298,0.817298073442,2.28172,0.751361653536,0.0,1.26924919711,0.0,1396
1423683674613752631,0.821244992641,2.28172,0.769005038389,0.0,1.97228688318,0.0,1394
1423683674729575631,0.832942699067,2.28172,0.822520443838,0.82016,4.11577298456,88.0,1394
1423683674845920965,0.868271737987,2.28172,0.867986507619,0.82016,4.44911815836,88.0,1394
1423683674963111965,0.907273805622,2.28172,0.906333344695,0.82016,4.22310620549,88.0,1394
1423683675079344631,0.943781736969,2.28172,0.943380405892,0.82016,4.05858300556,88.0,1394
1423683675201896632,0.978473590914,2.28172,0.979890383201,1.06248,3.95277231657,114.0,1394
1423683675318707298,1.01199677835,2.28172,1.01493531234,1.06248,3.83744879542,114.0,1394
1423683675438760631,1.04424648454,2.28172,1.04802866404,1.06248,3.70223688677,114.0,1394
1423683675554200631,1.07500351091,2.28172,1.07916396933,1.06248,3.55635314038,114.0,1394
1423683675686977298,1.10415028581,2.29296,1.12326890184,1.17432,4.05800050097,126.0,1394
1423683675804805298,1.13882595748,2.29296,1.21560781642,1.17432,4.44898336132,126.0,1394
1423683675921567298,1.17781010027,2.31544,1.32097708859,1.17432,4.4489669552,126.0,1394
1423683676043087298,1.21679166026,2.32668,1.42516986703,1.17432,4.44895130997,126.0,1394
1423683676160020965,1.25577063764,2.33792,1.45478400552,1.23024,4.44893642548,132.0,1394
